Species,Sample,Image,Event,Tank,Treatment,size..mm.,Date,Month
Hydrobia,SF131,1,2,C3,amb,3.908674699,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.451084337,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,5.263493976,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,5.375301205,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,5.661686747,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,3.918313253,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.988072289,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.543855422,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.968674699,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,6.41746988,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.316144578,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,3.867831325,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.29626506,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.613493976,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,3.727831325,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,2.907349398,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,3.842289157,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,3.951084337,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.16939759,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.284457831,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,3.73686747,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.628915663,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.383012048,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.308915663,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,3.849156627,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,2.984337349,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.326385542,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.479277108,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.25060241,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,3.692891566,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.344337349,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,4.288192771,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,3.510843373,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,2.35939759,2022-05-24,May
Hydrobia,SF131,1,2,C3,amb,2.984578313,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,5.351927711,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.177108434,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.038192771,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,3.799036145,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,3.853373494,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,5.528433735,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.905421687,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,5.466024096,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.06939759,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.963855422,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,3.606144578,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.114096386,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,3.924457831,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.694819277,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.924216867,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,2.609277108,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,5.854578313,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,5.924939759,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,3.806506024,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,3.493975904,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,5.300361446,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,3.809277108,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.038795181,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,5.577108434,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,3.694216867,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.389277108,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.510361446,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.89939759,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.454819277,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.942650602,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.084337349,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.676987952,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.32373494,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.22313253,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,4.228915663,2022-05-24,May
Hydrobia,SF131,2,2,C3,amb,5.786506024,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,4.765060241,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,3.691204819,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,3.482168675,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,3.932289157,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,3.814096386,2022-05-24,May
Hydrobia,SF131,3,2,C3,amb,3.563373494,2022-05-24,May
